===== 종합 대시보드 =====
  1: 잠실/송파 재건축 투자 종합 대시보드 (2026.02 기준) |  |  |  |  |  |  |  |  | 
  3: [핵심 지표 요약] |  |  |  |  |  |  |  |  | 
  4: 지표 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 비고
  5: 매매가(억) | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5 | 전용84m²
  6: 전세가율(%) | 27.8 | 34 | 34 | 33.3 | 34.1 | 25 | 20.7 | 25.6 | 
  7: 재건축진행률(%) | 65 | 45 | 40 | 55 | 70 | 25 | 20 | 20 | 
  8: ROI 중립(%) | -13.4 | 20.5 | 20.9 | 26.4 | 24.7 | 16.6 | 9.4 | 10.3 | 
  9: 종합점수 | 7.61 | 6.91 | 6.54 | 6.8 | 7.02 | 6.05 | 5.67 | 5.43 | 가중평균
 11: [투자자 유형별 TOP3 추천] |  |  |  |  |  |  |  |  | 
 12: 투자자 유형 | 1순위 | 2순위 | 3순위 | 추천 사유 |  |  |  |  | 
 13: 공격적(고수익추구) | 우성4차 | 올림픽선수촌 | 장미1·2차 | 빠른 사업속도+최대 용적률 상승+한강조망 프리미엄 |  |  |  |  | 
 14: 안정적(자산보전) | 잠실주공5단지 | 우성1·2·3차 | 장미1·2차 | 최고입지+확정시공사+브랜드가치 보장 |  |  |  |  | 
 15: 가성비(진입가대비) | 올림픽훼밀리 | 우성4차 | 장미3차 | 낮은 매입가 대비 높은 수익률 기대 |  |  |  |  | 
 17: [시장 환경 요약] |  |  |  |  |  |  |  |  | 
 18: 항목 | 현황 | 투자 영향 |  |  |  |  |  |  | 
 19: 기준금리 | 2.50% (2026.01 인하) | 대출이자 부담 완화, 매수심리 개선 |  |  |  |  |  |  | 
 20: 토지거래허가 | 잠실동 전체 2026.06까지 연장 | 실거주 의무, 전세 불가 → 진입장벽 |  |  |  |  |  |  | 
 21: 재건축초과이익환수(재초환) | 2026년 본격 적용 | 초과이익 최대 50% 환수, 수익률 하락 요인 |  |  |  |  |  |  | 
 22: 분양가상한제 | 과열지역 적용 지속 | 일반분양 수익 제한, 조합원 분담금 증가 가능 |  |  |  |  |  |  | 
 23: GTX-A / MICE 복합단지 | 2025말 개통 / 잠실종합운동장 개발 | 잠실권 교통·미래가치 상승 |  |  |  |  |  |  | 
 26: 단지명 | ROI 중립(%) |  |  |  |  |  |  |  | 
 27: 주공5 | -13.4 |  |  |  |  |  |  |  | 
 28: 장미1·2 | 20.5 |  |  |  |  |  |  |  | 
 29: 장미3 | 20.9 |  |  |  |  |  |  |  | 
 30: 우성1·2·3 | 26.4 |  |  |  |  |  |  |  | 
 31: 우성4 | 24.7 |  |  |  |  |  |  |  | 
 32: 아시아 | 16.6 |  |  |  |  |  |  |  | 
 33: 선수촌 | 9.4 |  |  |  |  |  |  |  | 
 34: 훼밀리 | 10.3 |  |  |  |  |  |  |  | 

===== 종합 스코어카드 =====
  1: 잠실/송파 재건축 다차원 투자 스코어카드 (8개 단지) |  |  |  |  |  |  |  |  |  | 
  3: 평가 팩터 | 가중치 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 비고
  4: 입지 프리미엄 | 12 | 10 | 9 | 8 | 8 | 7 | 9 | 8 | 7 | 
  5: 역세권 접근성 | 8 | 10 | 8 | 7 | 7 | 7 | 8 | 7 | 8 | 
  6: 한강 조망 | 6 | 9 | 10 | 9 | 6 | 5 | 5 | 4 | 3 | 
  7: 학군 | 5 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 
  8: 생활 인프라 | 5 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 
  9: 대형 개발호재 | 8 | 10 | 8 | 8 | 7 | 7 | 9 | 8 | 6 | 
 10: 재건축 진행도 | 10 | 7 | 5 | 4 | 6 | 8 | 3 | 2 | 2 | 
 11: 시공사 신뢰도 | 7 | 10 | 5 | 5 | 8 | 7 | 4 | 4 | 4 | 
 12: 브랜드 가치 | 5 | 10 | 5 | 5 | 7 | 7 | 4 | 4 | 4 | 
 13: 단지 규모 | 4 | 10 | 8 | 7 | 7 | 4 | 8 | 10 | 9 | 
 14: 가격 매력도 | 8 | 3 | 6 | 7 | 7 | 8 | 5 | 5 | 7 | 
 15: 전세가율(갭) | 3 | 2 | 5 | 5 | 5 | 6 | 3 | 2 | 3 | 
 16: 기대 수익률 | 8 | 3 | 7 | 7 | 6 | 8 | 6 | 7 | 6 | 
 17: 유동성 | 3 | 4 | 6 | 5 | 6 | 7 | 4 | 4 | 5 | 
 18: 리스크 안정성 | 7 | 7 | 5 | 5 | 6 | 7 | 4 | 4 | 4 | 
 19: 조합 안정성 | 4 | 8 | 6 | 5 | 6 | 7 | 5 | 4 | 4 | 
 20: 정책 수혜 | 3 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 
 21: 랜드마크 잠재력 | 4 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 | 
 22: 임대수익 | 2 | 3 | 5 | 5 | 5 | 6 | 3 | 3 | 4 | 
 23: 보유비용 효율 | 3 | 3 | 6 | 6 | 7 | 8 | 4 | 4 | 6 | 
 25: 가중평균 종합점수 | 100% | 7.61 | 6.91 | 6.54 | 6.8 | 7.02 | 6.05 | 5.67 | 5.43 | 
 26: 투자 추천 순위 |  | 1위 | 3위 | 5위 | 4위 | 2위 | 6위 | 7위 | 8위 | 
 28: 카테고리 | 가중치 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 
 29: 입지/환경 | 36 | 9.4 | 8.7 | 7.9 | 7.4 | 6.9 | 7.8 | 7 | 6.6 | 
 30: 재건축 사업성 | 34 | 9.1 | 6.1 | 5.6 | 6.9 | 6.9 | 5.4 | 5.1 | 4.5 | 
 31: 투자 수익성 | 24 | 3 | 6.1 | 6.3 | 6.1 | 7.5 | 4.8 | 5 | 5.7 | 
 32: 안정성/리스크 | 17 | 6.7 | 5.8 | 5.5 | 6.4 | 7.2 | 4.8 | 4.5 | 4.7 | 
 33: 미래 가치 | 4 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 | 
 36: 카테고리 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 |  | 
 37: 입지/환경 | 9.4 | 8.7 | 7.9 | 7.4 | 6.9 | 7.8 | 7 | 6.6 |  | 
 38: 재건축 사업성 | 9.1 | 6.1 | 5.6 | 6.9 | 6.9 | 5.4 | 5.1 | 4.5 |  | 
 39: 투자 수익성 | 3 | 6.1 | 6.3 | 6.1 | 7.5 | 4.8 | 5 | 5.7 |  | 
 40: 안정성/리스크 | 6.7 | 5.8 | 5.5 | 6.4 | 7.2 | 4.8 | 4.5 | 4.7 |  | 
 41: 미래 가치 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 |  | 

===== 단지별 기본정보 =====
  1: 8개 재건축 단지 기본정보 비교 |  |  |  |  |  |  |  | 
  3: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 13: 보유세/년 | 0.32 | 0.18 | 0.16 | 0.15 | 0.13 | 0.2 | 0.22 | 0.14
 14: 대출이자/년(20억) | 0.8 | 0.8 | 0.8 | 0.8 | 0.8 | 0.8 | 0.8 | 0.8
 15: 보유기간 총비용 | 10.1 | 7.7 | 7.5 | 7.4 | 5.6 | 9.9 | 8.9 | 10.4
 16: ── 예상수익 ── | ───── | ───── | ───── | ───── | ───── | ───── | ───── | ─────
 17: 예상 신축가(비관) | 48 | 38 | 36 | 35 | 30 | 38 | 38 | 30
 18: 예상 신축가(중립) | 52 | 42 | 40 | 40 | 35 | 45 | 43 | 36
 19: 예상 신축가(낙관) | 58 | 48 | 46 | 45 | 40 | 52 | 50 | 42
 20: 준공 예정연도 | 2031 | 2032 | 2032 | 2032 | 2029 | 2034 | 2034 | 2034
 21: ── 수익률 ── | ───── | ───── | ───── | ───── | ───── | ───── | ───── | ─────
 22: 총투자비(중립) | 58.2 | 36.4 | 34.6 | 33.4 | 29.4 | 40.2 | 40.2 | 33.7
 23: 예상차익(비관) | -10.1 | 1.7 | 1.5 | 1.7 | 0.8 | -2 | -2 | -3.5
 24: 예상차익(중립) | -6.2 | 5.6 | 5.4 | 6.6 | 5.6 | 4.8 | 2.8 | 2.3
 25: 예상차익(낙관) | -0.4 | 11.4 | 11.2 | 11.4 | 10.5 | 11.6 | 9.6 | 8.1
 26: ROI(중립)(%) | -13.4 | 20.5 | 20.9 | 26.4 | 24.7 | 16.6 | 9.4 | 10.3
 27: 연환산ROI(%) | -2 | 2.9 | 2.9 | 3.6 | 4.5 | 1.8 | 1 | 0.9
 30: 단지명 | 비관ROI | 중립ROI | 낙관ROI |  |  |  |  | 
 31: 주공5 | -21.7 | -13.4 | -0.9 |  |  |  |  | 
 32: 장미1·2 | 6.4 | 20.5 | 41.7 |  |  |  |  | 
 33: 장미3 | 5.9 | 20.9 | 43.3 |  |  |  |  | 
 34: 우성1·2·3 | 6.9 | 26.4 | 45.9 |  |  |  |  | 
 35: 우성4 | 3.4 | 24.7 | 46 |  |  |  |  | 
 36: 아시아 | -6.8 | 16.6 | 40 |  |  |  |  | 
 37: 선수촌 | -6.7 | 9.4 | 32 |  |  |  |  | 
 38: 훼밀리 | -15.8 | 10.3 | 36.5 |  |  |  |  | 

===== 비용구조 분석 =====
  1: 재건축 투자 비용 구조 상세 |  |  | 
  3: [1] 취득세 세율 |  |  | 
  4: 구분 | 세율 | 조건 | 비고
  5: 1주택(6억이하) | 1.0% | 비규제 | 지방교육세 별도
  6: 1주택(6~9억) | 1~3% | 비규제 | 구간별 차등
  7: 1주택(9억초과) | 3.0% | 비규제 | 
  8: 2주택(조정지역) | 8.0% | 규제중과 | +지방교육세+농특세
  9: 3주택이상 | 12.0% | 규제중과 | 
 10: 멸실후 토지매수 | 4.6% | 토지취득세 | 
 11: 원시취득(85m²이하) | 2.8% | 신축취득 | +0.16%=2.96%
 12: 원시취득(85m²초과) | 2.8% | 신축취득 | +0.2%=3.16%
 14: [2] 중개수수료 |  |  | 
 15: 거래금액 | 상한요율 | 예시(40억) | 실제협의선
 16: 5억미만 | 0.6% | - | -
 17: 5~9억 | 0.5% | - | -
 18: 9~12억 | 0.5% | - | -
 19: 12~15억 | 0.6% | - | -
 20: 15억이상 | 0.7% | 최대2800만 | 0.4~0.5%
 22: [3] 보유세(1주택,공시가30억) |  |  | 
 23: 항목 | 금액(만/년) | 비고 | 변동요인
 24: 재산세 | 800~1,200 | 공시가기준 | 공시가변동
 25: 종부세 | 1,500~2,500 | 공제12억 | 가액비율
 26: 합계 | 2,300~3,700 |  | 2026증가
 27: 다주택종부세 | 3,000~6,000+ | 중과세율 | 상한폐지
 29: [4] 대출금리(2026.02) |  |  | 
 30: 구분 | 금리 | 비고 | 월이자(20억)
 31: 기준금리 | 2.50% | 2026.01인하 | -
 32: 변동금리 | 3.8~4.3% | 주담대 | 633~717만
 33: 고정금리 | 4.0~4.5% | 주담대 | 667~750만
 34: 보금자리론 | 3.9~4.2% | 일반 | 650~700만
 35: 보금자리론(우대) | 2.9~3.2% | 우대 | 483~533만

===== 리스크 매트릭스 =====
  1: 단지별 리스크 매트릭스 (영향도×확률) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
  3: 리스크 요인 | 주공5영향 | 주공5확률 | 장미1영향 | 장미1확률 | 장미3영향 | 장미3확률 | 우성1영향 | 우성1확률 | 우성4영향 | 우성4확률 | 아시아영향 | 아시아확률 | 선수촌영향 | 선수촌확률 | 훼밀리영향 | 훼밀리확률 | 등급
  4: 추가공사비 | 8 | 7 | 7 | 6 | 7 | 6 | 7 | 6 | 6 | 5 | 7 | 6 | 8 | 7 | 7 | 6 | 매우높음
  5: 사업지연(인허가) | 6 | 4 | 8 | 7 | 8 | 7 | 7 | 6 | 5 | 3 | 8 | 7 | 9 | 8 | 8 | 7 | 매우높음
  6: 조합 내부 갈등 | 7 | 4 | 6 | 5 | 6 | 6 | 6 | 5 | 4 | 3 | 6 | 5 | 8 | 7 | 7 | 6 | 매우높음
  7: 부동산시장 하락 | 9 | 5 | 7 | 5 | 7 | 5 | 7 | 5 | 6 | 5 | 8 | 5 | 8 | 5 | 7 | 5 | 높음
  8: 금리 상승 | 8 | 4 | 6 | 4 | 6 | 4 | 6 | 4 | 5 | 4 | 7 | 4 | 7 | 4 | 6 | 4 | 높음
  9: 정책/규제 강화 | 8 | 6 | 7 | 6 | 7 | 6 | 7 | 6 | 6 | 5 | 7 | 6 | 7 | 6 | 7 | 6 | 매우높음
 10: 재초환 부담금 | 9 | 8 | 7 | 6 | 6 | 6 | 6 | 5 | 5 | 4 | 7 | 6 | 7 | 6 | 5 | 5 | 매우높음
 11: 토지거래허가 연장 | 7 | 8 | 5 | 6 | 5 | 6 | 5 | 6 | 4 | 5 | 5 | 6 | 5 | 6 | 4 | 5 | 매우높음
 12: 분담금 급등 | 8 | 5 | 7 | 6 | 7 | 6 | 7 | 6 | 5 | 4 | 7 | 5 | 5 | 3 | 8 | 7 | 매우높음
 13: 시공사 리스크 | 6 | 2 | 7 | 7 | 7 | 7 | 5 | 3 | 5 | 3 | 8 | 8 | 8 | 8 | 8 | 8 | 매우높음
 14: 양도세 중과 | 8 | 5 | 6 | 5 | 6 | 5 | 6 | 5 | 5 | 5 | 7 | 5 | 7 | 5 | 6 | 5 | 높음
 15: 보유세 증가 | 9 | 7 | 6 | 5 | 6 | 5 | 6 | 5 | 5 | 4 | 7 | 6 | 8 | 6 | 6 | 5 | 매우높음
 17: 종합 리스크 점수 | 43 |  | 37.7 |  | 37.7 |  | 32.7 |  | 21.4 |  | 40.5 |  | 44 |  | 38.8 |  | 

===== 벤치마크(과거사례) =====
  1: 서울 주요 재건축 완료 사례 벤치마크 |  |  |  |  |  |  |  |  | 
  3: 사업명 | 위치 | 기존세대 | 신축세대 | 소요기간 | 분양가(84m²) | 현시세(84m²) | 차익 | 조합원수익률 | 추가공사비
  4: 둔촌주공→올림픽파크포레온 | 강동구 | 5930 | 12032 | 16 | 13 | 24 | 11 | 200~300% | 약1조원
  5: 반포주공1→래미안원베일리 | 서초구 | 2444 | 2990 | 15 | 20 | 42 | 22 | 150~250% | 일부
  6: 개포주공1→디에이치포레센트 | 강남구 | 1980 | 6702 | 14 | 15 | 38 | 23 | 200~300% | 해결
  7: 개포주공4→래미안포레스트 | 강남구 | 1100 | 3375 | 12 | 14 | 35 | 21 | 180~280% | 없음
  8: 잠실주공1~4→잠실르엘 | 송파구 | 5678 | 6300 | 13 | 13.5 | 30 | 16.5 | 150~250% | 일부
 11: [벤치마크 시사점] |  |  |  |  |  |  |  |  | 
 12: 1. 서울 재건축 평균 소요기간: 조합설립~입주 약 10~16년 |  |  |  |  |  |  |  |  | 
 13: 2. 분양가 대비 현시세 평균 프리미엄: 100~200% 상승 |  |  |  |  |  |  |  |  | 
 14: 3. 추가공사비 이슈는 5천세대+ 대단지에서 빈번 → 주공5/선수촌 주의 |  |  |  |  |  |  |  |  | 
 15: 4. 초기 매입가 낮을수록 ROI 극대화 → 우성4차/훼밀리 유리 |  |  |  |  |  |  |  |  | 
 16: 5. 한강변+강남권 입지 = 완공후 시세 프리미엄 극대화 |  |  |  |  |  |  |  |  | 
 17: 6. 시공사 브랜드가 완공후 5~10% 추가 프리미엄 |  |  |  |  |  |  |  |  | 

===== 시나리오 분석 =====
  1: 3개 시나리오별 투자 수익 시뮬레이션 |  |  |  |  |  |  |  | 
  3: 시나리오: 낙관 (Bull) |  |  |  |  |  |  |  | 
  4: 전제: 금리인하, 규제완화, 부동산 상승기 |  |  |  |  |  |  |  | 
  5: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
  6: 예상신축가(억) | 58 | 48 | 46 | 45 | 40 | 52 | 50 | 42
  7: 분담금(억) | 2 | 1.5 | 1.5 | 1.5 | 1 | 2 | 1 | 2.5
  8: 이주기간(년) | 4 | 3.5 | 3.5 | 3.5 | 2.5 | 5 | 5.5 | 5.5
  9: 총투자비(억) | 55.3 | 34.7 | 33.1 | 32 | 28.1 | 38.8 | 39.4 | 32.9
 10: 예상차익(억) | 2.7 | 13.3 | 12.9 | 13 | 11.9 | 13.2 | 10.6 | 9.1
 11: ROI(%) | 5.8 | 48.4 | 49.8 | 52.1 | 52.4 | 45.7 | 35.4 | 41
 13: 시나리오: 중립 (Base) |  |  |  |  |  |  |  | 
 14: 전제: 현 추세 유지, 완만한 상승 |  |  |  |  |  |  |  | 
 15: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 16: 예상신축가(억) | 52 | 42 | 40 | 40 | 35 | 45 | 43 | 36
 17: 분담금(억) | 3.5 | 2.5 | 2.5 | 2.5 | 2 | 3 | 1.5 | 3.6
 18: 이주기간(년) | 5 | 4.5 | 4.5 | 4.5 | 3.5 | 6 | 6.5 | 6.5
 19: 총투자비(억) | 57.9 | 36.8 | 35.2 | 34.1 | 30.2 | 40.8 | 40.9 | 35
 20: 예상차익(억) | -5.9 | 5.2 | 4.8 | 5.9 | 4.8 | 4.2 | 2.1 | 1
 21: ROI(%) | -12.6 | 19 | 18.6 | 23.6 | 21.2 | 14.5 | 7 | 4.3
 23: 시나리오: 비관 (Bear) |  |  |  |  |  |  |  | 
 24: 전제: 금리상승, 규제강화, 경기침체 |  |  |  |  |  |  |  | 
 25: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 26: 예상신축가(억) | 48 | 38 | 36 | 35 | 30 | 38 | 38 | 30
 27: 분담금(억) | 5 | 4 | 4 | 4 | 3 | 4 | 2 | 5
 28: 이주기간(년) | 6.5 | 6 | 6 | 6 | 4.5 | 7.5 | 8 | 8
 29: 총투자비(억) | 61.1 | 40.1 | 38.4 | 37.4 | 32.3 | 43.5 | 43.1 | 38.1
 30: 예상차익(억) | -13.1 | -2.1 | -2.4 | -2.4 | -2.3 | -5.5 | -5.1 | -8.1
 31: ROI(%) | -28.2 | -7.5 | -9.4 | -9.6 | -10 | -18.9 | -17.1 | -36.6

===== 현금흐름 분석 =====
  1: 연도별 현금흐름 비교 (주공5 vs 우성4 vs 올림픽선수촌) |  |  |  |  |  | 
  3: [A] 잠실주공5단지 (매입가 45억) |  |  |  |  |  | 
  4: 연도 | 구분 | 지출(억) | 수입(억) | 누적투자(억) | 자산가치(억) | 순자산(억)
  5: 2026 | 매입+취득세+중개 | -46.6 | 0 | -46.6 | 45 | -1.6
  6: 2027 | 이주+보유비용 | -1.5 | 0 | -48.1 | 46 | -2.1
  7: 2028 | 분담금1차+보유비용 | -3 | 0 | -51.1 | 47 | -4.1
  8: 2029 | 보유비용+분담금잔금 | -1.9 | 0 | -53 | 48 | -5
  9: 2030 | 보유비용 | -1.4 | 0 | -54.4 | 50 | -4.4
 10: 2031 | 준공+신축취득세 | -1.5 | 0 | -55.9 | 52 | -3.9
 13: [B] 우성4차 (매입가 22억) |  |  |  |  |  | 
 14: 연도 | 구분 | 지출(억) | 수입(억) | 누적투자(억) | 자산가치(억) | 순자산(억)
 15: 2026 | 매입+취득세+중개+이주 | -23.7 | 0 | -23.7 | 22 | -1.7
 16: 2027 | 분담금1차+보유비용 | -2.4 | 0 | -26.1 | 24 | -2.1
 17: 2028 | 보유비용+분담금잔금 | -1.2 | 0 | -27.3 | 28 | 0.7
 18: 2029 | 준공+신축취득세 | -1 | 0 | -28.3 | 35 | 6.7
 21: [C] 올림픽선수촌 (매입가 29억) |  |  |  |  |  | 
 22: 연도 | 구분 | 지출(억) | 수입(억) | 누적투자(억) | 자산가치(억) | 순자산(억)
 23: 2026 | 매입+취득세+중개 | -30 | 0 | -30 | 29 | -1
 24: 2027 | 보유비용 | -1.2 | 0 | -31.2 | 30 | -1.2
 25: 2028 | 보유비용 | -1.2 | 0 | -32.4 | 31 | -1.4
 26: 2029 | 이주+보유비용 | -1.4 | 0 | -33.8 | 32 | -1.8
 27: 2030 | 분담금+보유비용 | -2.7 | 0 | -36.5 | 35 | -1.5
 28: 2031 | 보유비용 | -1.2 | 0 | -37.7 | 37 | -0.7
 29: 2032 | 보유비용 | -1.2 | 0 | -38.9 | 39 | 0.1
 30: 2033 | 보유비용 | -1.2 | 0 | -40.1 | 41 | 0.9
 31: 2034 | 준공+신축취득세 | -1.3 | 0 | -41.4 | 43 | 1.6

===== 세금 시뮬레이션 =====
  1: 투자자 유형별 세금 시뮬레이션 (전용 84m²) |  |  |  |  |  |  |  |  |  | 
  3: [주택수별 세금 요약] |  |  |  |  |  |  |  |  |  | 
  4: 구분 | 취득세율 | 양도세율 | 종부세공제 | 장기보유공제 | 비과세조건 |  |  |  |  | 
  5: 실거주 1주택자 (비과세 가능) | 3.0% | 0 | 12.0억 | 최대80% | 2년이상보유+실거주 |  |  |  |  | 
  6: 비거주 1주택자 | 3.0% | 6~45% | 12.0억 | 최대30% | 불가 |  |  |  |  | 
  7: 조정대상지역 2주택자 | 8.0% | 기본+20%p | 9.0억 | 미적용 | 일시적2주택만 |  |  |  |  | 
  8: 3주택 이상 다주택자 | 12.0% | 기본+30%p | 9.0억 | 미적용 | 불가 |  |  |  |  | 
  9: 법인 매수 | 12.0% | 법인세+추가20% | 0억 | 미적용 | 불가 |  |  |  |  | 
 12: [단지별 세금 추정] |  |  |  |  |  |  |  |  |  | 
 13: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 |  | 
 14: 매입가 | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5 |  | 
 15: 예상신축가 | 52 | 42 | 40 | 40 | 35 | 45 | 43 | 36 |  | 
 16: 양도차익 | 7 | 15.5 | 15 | 16 | 13 | 17 | 14 | 14.5 |  | 
 17: 취득세(1주택) | 1.35 | 0.79 | 0.75 | 0.72 | 0.66 | 0.84 | 0.87 | 0.65 |  | 
 18: 취득세(2주택) | 3.6 | 2.12 | 2 | 1.92 | 1.76 | 2.24 | 2.32 | 1.72 |  | 
 19: 양도세(비과세) | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  | 
 20: 양도세(일반) | 2.7 | 5.9 | 5.7 | 6.1 | 4.9 | 6.5 | 5.3 | 5.5 |  | 
 21: 양도세(중과) | 4.1 | 9 | 8.7 | 9.3 | 7.5 | 9.9 | 8.1 | 8.4 |  | 
 22: 종부세(1주택/연) | 0.36 | 0.21 | 0.2 | 0.19 | 0.18 | 0.22 | 0.23 | 0.17 |  | 
 23: 종부세(다주택/연) | 0.9 | 0.53 | 0.5 | 0.48 | 0.44 | 0.56 | 0.58 | 0.43 |  | 
 24: 신축취득세 | 1.54 | 1.24 | 1.18 | 1.18 | 1.04 | 1.33 | 1.27 | 1.07 |  | 
 27: [세금 절감 전략] |  |  |  |  |  |  |  |  |  | 
 28: 1. 실거주 2년 충족 시 양도세 비과세 (12억 초과분만 과세) |  |  |  |  |  |  |  |  |  | 
 29: 2. 장기보유특별공제: 10년 보유+거주 시 최대 80% 공제 |  |  |  |  |  |  |  |  |  | 
 30: 3. 일시적 2주택: 신규취득 후 3년내 종전주택 매도 시 비과세 |  |  |  |  |  |  |  |  |  | 
 31: 4. 조합원입주권 양도: 관리처분인가 전 매도 시 일반세율 |  |  |  |  |  |  |  |  |  | 
 32: 5. 재초환 부담금: 준공 시점 시세-정상상승분 초과이익의 최대 50% |  |  |  |  |  |  |  |  |  | 

===== 대출 레버리지 분석 =====
  1: 대출 비율별 레버리지 효과 분석 |  |  |  |  |  |  |  | 
  3: [LTV 50%] |  |  |  |  |  |  |  | 
  4: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
  5: 자기자본 | 22.5 | 13.2 | 12.5 | 12 | 11 | 14 | 14.5 | 10.8
  6: 대출금 | 22.5 | 13.2 | 12.5 | 12 | 11 | 14 | 14.5 | 10.8
  7: 연이자(4%) | 0.9 | 0.53 | 0.5 | 0.48 | 0.44 | 0.56 | 0.58 | 0.43
  8: 레버리지ROI(%) | -18.4 | 61.5 | 62.6 | 74.5 | 68.7 | 53.3 | 36.6 | 45.3
 10: [LTV 40%] |  |  |  |  |  |  |  | 
 11: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 12: 자기자본 | - | - | - | - | - | - | - | -
 13: 대출금 | 18 | 10.6 | 10 | 9.6 | 8.8 | 11.2 | 11.6 | 8.6
 14: 연이자(4%) | 0.72 | 0.42 | 0.4 | 0.38 | 0.35 | 0.45 | 0.46 | 0.34
 15: 레버리지ROI(%) | -12.4 | 53.9 | 54.8 | 64.8 | 59.3 | 48.1 | 34.5 | 41.7
 17: [LTV 30%] |  |  |  |  |  |  |  | 
 18: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 19: 자기자본 | - | - | - | - | - | - | - | -
 20: 대출금 | 13.5 | 7.9 | 7.5 | 7.2 | 6.6 | 8.4 | 8.7 | 6.5
 21: 연이자(4%) | 0.54 | 0.32 | 0.3 | 0.29 | 0.26 | 0.34 | 0.35 | 0.26
 22: 레버리지ROI(%) | -8 | 48.5 | 49.3 | 57.8 | 52.5 | 44.4 | 33 | 39.2
 25: 단지 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 26: LTV 50% | -18.4 | 61.5 | 62.6 | 74.5 | 68.7 | 53.3 | 36.6 | 45.3
 27: LTV 40% | -12.4 | 53.9 | 54.8 | 64.8 | 59.3 | 48.1 | 34.5 | 41.7
 28: LTV 30% | -8 | 48.5 | 49.3 | 57.8 | 52.5 | 44.4 | 33 | 39.2

===== 주변시세 비교 =====
  1: 잠실/송파/강남권 주요 단지 시세 비교 (전용 84m²) |  |  |  |  |  | 
  3: 단지명 | 위치 | 준공 | 세대수 | 매매가(억) | 전세가(억) | 비고
  4: 잠실엘스 | 잠실동 | 2008 | 5678 | 28 | 10 | 잠실르엘 분양권
  5: 리센츠 | 잠실동 | 2008 | 5563 | 27.5 | 9.5 | 잠실역 초역세권
  6: 트리지움 | 잠실동 | 2008 | 3696 | 25 | 9 | 잠실나루역
  7: 파크리오 | 잠실동 | 2008 | 6864 | 28.5 | 10 | 한강조망+대단지
  8: 레이크팰리스 | 잠실동 | 2008 | 2678 | 25.5 | 8.5 | 석촌호수뷰
  9: 잠실래미안아이파크 | 잠실동 | 2025 | 2678 | 32 | 14 | 신축(잠실진주재건축)
 10: 헬리오시티 | 송파동 | 2018 | 9510 | 24.5 | 9 | 송파 최대단지
 11: 올림픽파크포레온 | 강동구 | 2024 | 12032 | 24 | 11 | 둔촌주공재건축
 12: 래미안원베일리 | 서초구 | 2023 | 2990 | 42 | 18 | 반포재건축 벤치마크
 13: 디에이치포레센트 | 강남구 | 2021 | 6702 | 38 | 16 | 개포재건축 벤치마크
 15: ── 분석 대상 재건축 단지 ── |  |  |  |  |  | 
 16: 단지명 | 위치 | 준공 | 세대수 | 매매가(억) | 전세가(억) | 비고
 17: 잠실주공5단지 | 잠실동 40 | 1978 | 3930 | 45 | 12.5 | 재건축 사업시행계획인가 신청
 18: 장미1·2차 | 잠실동 16-5 | 1979 | 2262 | 26.5 | 9 | 재건축 사업시행인가 진행중
